"origin","dest","year","flow_2.5%","flow_50%","flow_97.5%"
"Malta","Bulgaria","2009",20.7,45.1,97.5
"Netherlands","Bulgaria","2009",459.4,880.7,1652.1
"Norway","Bulgaria","2009",44.5,66.9,99.7
"Poland","Bulgaria","2009",211.7,463,991.5
"Portugal","Bulgaria","2009",149.2,319.2,667
"Romania","Bulgaria","2009",181.7,383.8,831.8
"Slovakia","Bulgaria","2009",42,81,156.2
"Slovenia","Bulgaria","2009",233.5,363.3,566
"Spain","Bulgaria","2009",6424.3,9960,15287.7
"Sweden","Bulgaria","2009",87.3,125.8,181.1
"Switzerland","Bulgaria","2009",101.8,190.4,357.6
"United Kingdom","Bulgaria","2009",1623.8,3420.1,7218.7
"North Macedonia","Bulgaria","2009",186.3,348,642.1
"Other Europe","Bulgaria","2009",5222.6,10135.6,20035.6
"North Africa","Bulgaria","2009",57.4,110,220.7
"Sub-Saharan Africa","Bulgaria","2009",60.2,117.7,231.6
"West Asia","Bulgaria","2009",1003.2,1928.2,3759.3
"East Asia","Bulgaria","2009",137,264.5,514.8
"South-Southeast Asia","Bulgaria","2009",120.5,234.6,452.7
"North America and Oceania","Bulgaria","2009",349.5,680.8,1312
"Latin America","Bulgaria","2009",39.3,76.3,152.4
"Austria","Croatia","2009",830.6,1281.3,1935.2
"Belgium","Croatia","2009",55.7,103,184.5
"Bulgaria","Croatia","2009",29.2,54.6,102.4
"Croatia","Croatia","2009",NA,NA,NA
"Cyprus","Croatia","2009",1,2.1,4.4
"Czechia","Croatia","2009",44.1,84.3,163.9
"Denmark","Croatia","2009",20,29.7,43.7
"Estonia","Croatia","2009",2.4,4.7,8.9
"Finland","Croatia","2009",4.9,8.2,13.3
"France","Croatia","2009",70.9,129.6,238.5
"Germany","Croatia","2009",1157.4,2223.3,4304.7
"Greece","Croatia","2009",6.5,13.2,25.8
"Hungary","Croatia","2009",62.9,119.9,229.3
"Iceland","Croatia","2009",3.3,5.7,9.6
"Ireland","Croatia","2009",21,38.9,71.2
"Italy","Croatia","2009",667.7,1019.5,1551.1
"Latvia","Croatia","2009",1.9,4,8.3
"Liechtenstein","Croatia","2009",0.8,1.5,2.9
"Lithuania","Croatia","2009",5.6,9.6,16
"Luxembourg","Croatia","2009",4.2,8.7,17.3
"Malta","Croatia","2009",1.5,3.1,6.7
"Netherlands","Croatia","2009",59.6,108.2,191.8
"Norway","Croatia","2009",14.7,23,36
"Poland","Croatia","2009",39.6,75.9,146
"Portugal","Croatia","2009",5.6,11,21.7
"Romania","Croatia","2009",36.4,68.8,131.6
"Slovakia","Croatia","2009",32.8,58.9,108.7
"Slovenia","Croatia","2009",824.4,1261.9,1905.5
"Spain","Croatia","2009",23.5,45.8,88.8
"Sweden","Croatia","2009",54.5,78,111.6
"Switzerland","Croatia","2009",213.7,381.9,671.6
"United Kingdom","Croatia","2009",93.1,176.2,346.6
"North Macedonia","Croatia","2009",221.4,341.7,530.1
"Other Europe","Croatia","2009",5685.7,8754.6,13351.1
"North Africa","Croatia","2009",12.4,20.8,34
"Sub-Saharan Africa","Croatia","2009",27,43.7,70.8
"West Asia","Croatia","2009",51.6,83,131.1
"East Asia","Croatia","2009",124,195.4,305.5
"South-Southeast Asia","Croatia","2009",64.3,99.8,157.9
"North America and Oceania","Croatia","2009",344.4,530.1,808.1
"Latin America","Croatia","2009",55.2,85.9,135.6
"Austria","Cyprus","2009",19.4,32,52.4
"Belgium","Cyprus","2009",25,47.6,90.9
"Bulgaria","Cyprus","2009",385.6,869.4,1940.6
"Croatia","Cyprus","2009",1,2.4,5.6
"Cyprus","Cyprus","2009",NA,NA,NA
"Czechia","Cyprus","2009",16.7,84.5,445.9
"Denmark","Cyprus","2009",12.8,20,30.7
"Estonia","Cyprus","2009",7,14.5,29.4
"Finland","Cyprus","2009",20.6,31.3,47.1
"France","Cyprus","2009",49.9,100,192.8
"Germany","Cyprus","2009",80.2,380.9,1868.3
"Greece","Cyprus","2009",220,1319.2,6891.7
"Hungary","Cyprus","2009",19,94.2,473.8
"Iceland","Cyprus","2009",1.2,2.5,4.7
"Ireland","Cyprus","2009",12.7,33.7,91.8
"Italy","Cyprus","2009",67.3,109.3,174.1
"Latvia","Cyprus","2009",5,25,123.6
"Liechtenstein","Cyprus","2009",0.1,0.3,0.9
"Lithuania","Cyprus","2009",56.9,91.9,144.8
"Luxembourg","Cyprus","2009",1,5,24.2
"Malta","Cyprus","2009",2,10.3,51.1
"Netherlands","Cyprus","2009",47.7,91.8,178.1
"Norway","Cyprus","2009",22.9,35,52.5
"Poland","Cyprus","2009",28.8,151.5,734.2
"Portugal","Cyprus","2009",3.8,20.6,100
"Romania","Cyprus","2009",69.3,330.8,1668.4
"Slovakia","Cyprus","2009",16.1,34.4,74.7
"Slovenia","Cyprus","2009",3.5,6.4,11.4
"Spain","Cyprus","2009",17.5,83.3,390.1
"Sweden","Cyprus","2009",63.5,92.2,130.6
"Switzerland","Cyprus","2009",30.3,56.6,106.9
"United Kingdom","Cyprus","2009",626,3270.4,16886.6
"North Macedonia","Cyprus","2009",0.8,2.5,7
"Other Europe","Cyprus","2009",94.2,840.4,7551.1
"North Africa","Cyprus","2009",19.1,164.3,1399.6
"Sub-Saharan Africa","Cyprus","2009",61,526.3,4458
"West Asia","Cyprus","2009",54.6,506.6,4800.1
"East Asia","Cyprus","2009",11.6,93.7,936.6
"South-Southeast Asia","Cyprus","2009",71.3,636.5,5788.5
"North America and Oceania","Cyprus","2009",21.9,215.4,1859.6
"Latin America","Cyprus","2009",14,109.3,1004.7
"Austria","Czechia","2009",695.7,1077.2,1671.9
"Belgium","Czechia","2009",164.5,312.5,590.7
"Bulgaria","Czechia","2009",449.3,989.7,2201.9
"Croatia","Czechia","2009",38.3,84,184.7
"Cyprus","Czechia","2009",12.3,60.2,319.8
"Czechia","Czechia","2009",NA,NA,NA
"Denmark","Czechia","2009",167.1,235.2,327.1
"Estonia","Czechia","2009",28.7,58.9,121.3
"Finland","Czechia","2009",39.8,58.3,86.5
"France","Czechia","2009",437.1,847,1666.3
"Germany","Czechia","2009",746.9,3892.3,19546.5
"Greece","Czechia","2009",92,468.8,2418.6
"Hungary","Czechia","2009",122.5,639.7,3203.7
"Iceland","Czechia","2009",75.1,108.8,155.9
"Ireland","Czechia","2009",146,380.3,978.3
"Italy","Czechia","2009",604.8,929.4,1468.6
"Latvia","Czechia","2009",14.4,73.7,373.5
"Liechtenstein","Czechia","2009",0.2,0.5,1.3
"Lithuania","Czechia","2009",62.6,98.4,154.6
"Luxembourg","Czechia","2009",5,25,124.2
"Malta","Czechia","2009",3.6,18,87.9
"Netherlands","Czechia","2009",221.1,409.3,770.6
"Norway","Czechia","2009",51.9,76.2,110.3
"Poland","Czechia","2009",349.4,1830.1,9556.9
"Portugal","Czechia","2009",22.8,110.5,578.8
"Romania","Czechia","2009",154.2,761.2,3979.8
"Slovakia","Czechia","2009",4211.9,8391.9,16885.6
"Slovenia","Czechia","2009",35,56.1,89.6
"Spain","Czechia","2009",150.3,728.2,3512.2
"Sweden","Czechia","2009",114.7,163.4,232.5
