"origin","dest","year","flow_2.5%","flow_50%","flow_97.5%"
"Germany","Spain","2010",7483.6,11575.9,17607.2
"Greece","Spain","2010",152.5,732.5,3761.8
"Hungary","Spain","2010",331.6,1646.9,8116.3
"Iceland","Spain","2010",72.2,104.3,150.6
"Ireland","Spain","2010",1255.6,1923.8,2965.2
"Italy","Spain","2010",9056,12697.6,17743
"Latvia","Spain","2010",72.4,339.1,1604
"Liechtenstein","Spain","2010",12.6,21,34.8
"Lithuania","Spain","2010",1583.7,2226.9,3111.8
"Luxembourg","Spain","2010",56.4,277.8,1476.4
"Malta","Spain","2010",17,86.2,407.5
"Netherlands","Spain","2010",2618.4,3981.7,6105.3
"Norway","Spain","2010",852.7,1140.9,1511.3
"Poland","Spain","2010",2310.8,3508.3,5367.8
"Portugal","Spain","2010",4561.1,7097.1,11176.6
"Romania","Spain","2010",27472.2,42249.6,66225.8
"Slovakia","Spain","2010",174.4,351.8,707.5
"Slovenia","Spain","2010",62.5,99.1,156.1
"Spain","Spain","2010",NA,NA,NA
"Sweden","Spain","2010",1220.9,1610,2128.7
"Switzerland","Spain","2010",1868.1,2869.5,4430.7
"United Kingdom","Spain","2010",14797.1,22418.2,34075.3
"North Macedonia","Spain","2010",14.1,32.1,71.2
"Other Europe","Spain","2010",12446.3,17370.8,37601.2
"North Africa","Spain","2010",30890.5,40616.3,54965.4
"Sub-Saharan Africa","Spain","2010",13450.4,19840.2,57180.6
"West Asia","Spain","2010",366.6,3170.3,28046.5
"East Asia","Spain","2010",9874.1,13063.3,20217.5
"South-Southeast Asia","Spain","2010",18477.7,24779.9,37257.1
"North America and Oceania","Spain","2010",6727.2,8852.7,11581.2
"Latin America","Spain","2010",100727.2,131708.6,180924.7
"Austria","Sweden","2010",325.3,417.6,534.8
"Belgium","Sweden","2010",469.1,593,753.9
"Bulgaria","Sweden","2010",545.9,711.7,926.3
"Croatia","Sweden","2010",148,198.2,264.9
"Cyprus","Sweden","2010",91.7,123.7,165.9
"Czechia","Sweden","2010",229.4,301.1,395
"Denmark","Sweden","2010",4029.8,4995.8,6165.7
"Estonia","Sweden","2010",502.5,655.1,852
"Finland","Sweden","2010",2866.2,3542.3,4404.8
"France","Sweden","2010",1123.2,1456.2,1907.8
"Germany","Sweden","2010",2806,3610.9,4743.1
"Greece","Sweden","2010",889.1,1166.7,1534.7
"Hungary","Sweden","2010",746,976.3,1277.8
"Iceland","Sweden","2010",679.2,847.1,1048.8
"Ireland","Sweden","2010",342,444.8,582.8
"Italy","Sweden","2010",1020,1312.1,1673.9
"Latvia","Sweden","2010",708.6,924.2,1198.9
"Liechtenstein","Sweden","2010",1,1.9,3.3
"Lithuania","Sweden","2010",1389.5,1752.8,2224.8
"Luxembourg","Sweden","2010",109.3,147.6,196.9
"Malta","Sweden","2010",65.5,89.9,125
"Netherlands","Sweden","2010",995.1,1293.1,1678.3
"Norway","Sweden","2010",6486.1,8003.3,9935.2
"Poland","Sweden","2010",4094.2,5280.6,6830.1
"Portugal","Sweden","2010",212.6,279.5,368.2
"Romania","Sweden","2010",1568.1,2039.8,2671.2
"Slovakia","Sweden","2010",193.4,256.5,336.6
"Slovenia","Sweden","2010",59,78.4,105.1
"Spain","Sweden","2010",1674,2114.3,2670.5
"Sweden","Sweden","2010",NA,NA,NA
"Switzerland","Sweden","2010",548.3,712.4,928.9
"United Kingdom","Sweden","2010",3327.9,4289.7,5540.7
"North Macedonia","Sweden","2010",233.4,307.1,409.1
"Other Europe","Sweden","2010",6289.1,8189,10662.2
"North Africa","Sweden","2010",1362.5,1794,2354.7
"Sub-Saharan Africa","Sweden","2010",9860.9,12972.1,16857.7
"West Asia","Sweden","2010",11550.1,15059.9,19612.2
"East Asia","Sweden","2010",4062.3,5323.3,6909.2
"South-Southeast Asia","Sweden","2010",9870.1,12875.3,16697.4
"North America and Oceania","Sweden","2010",4147.6,5401.1,7019.2
"Latin America","Sweden","2010",2406.7,3100.3,4032.6
"Austria","Switzerland","2010",1655,2565.5,3940
"Belgium","Switzerland","2010",716,1099.5,1670.2
"Bulgaria","Switzerland","2010",258,491,921.7
"Croatia","Switzerland","2010",124.3,242.8,455.7
"Cyprus","Switzerland","2010",34.6,65.7,121.6
"Czechia","Switzerland","2010",250.5,473.8,905.9
"Denmark","Switzerland","2010",377.5,524.8,728.9
"Estonia","Switzerland","2010",32.9,59,104.7
"Finland","Switzerland","2010",338.6,468.7,650.6
"France","Switzerland","2010",6571.6,12298.9,22753.3
"Germany","Switzerland","2010",9523.7,17974.2,33070.6
"Greece","Switzerland","2010",537.5,992,1860.9
"Hungary","Switzerland","2010",621.7,1151.8,2184.4
"Iceland","Switzerland","2010",35.6,52.9,79.1
"Ireland","Switzerland","2010",189.5,344.7,605.3
"Italy","Switzerland","2010",10125.8,15372.1,23104.1
"Latvia","Switzerland","2010",65.9,125.5,234.2
"Liechtenstein","Switzerland","2010",197.1,304.6,464.8
"Lithuania","Switzerland","2010",146.6,229,353.4
"Luxembourg","Switzerland","2010",137.9,257.5,481.4
"Malta","Switzerland","2010",31,58.4,108.1
"Netherlands","Switzerland","2010",643.7,1210,2270.1
"Norway","Switzerland","2010",202.6,286.8,400.1
"Poland","Switzerland","2010",868.8,1616.5,3016.4
"Portugal","Switzerland","2010",3505,6482.6,12214.3
"Romania","Switzerland","2010",606.7,1126.1,2092.2
"Slovakia","Switzerland","2010",430.2,758.1,1366.7
"Slovenia","Switzerland","2010",213.9,327.9,500.8
"Spain","Switzerland","2010",3343,5114.1,7938.6
"Sweden","Switzerland","2010",595.4,828.2,1139.7
"Switzerland","Switzerland","2010",NA,NA,NA
"United Kingdom","Switzerland","2010",2681.6,4880.1,8731
"North Macedonia","Switzerland","2010",602.6,1114.4,1997
"Other Europe","Switzerland","2010",3537.8,6698.1,12709.1
"North Africa","Switzerland","2010",798.9,1488.9,2847.3
"Sub-Saharan Africa","Switzerland","2010",1475.6,2817.1,5267.5
"West Asia","Switzerland","2010",1360.9,2526.2,4706.4
"East Asia","Switzerland","2010",2172.9,4099.2,7679.6
"South-Southeast Asia","Switzerland","2010",3098.7,5830.9,10901.6
"North America and Oceania","Switzerland","2010",3761.2,7062.1,13110.9
"Latin America","Switzerland","2010",2909.7,5480.6,10193.4
"Austria","United Kingdom","2010",907.9,1410.2,2202.2
"Belgium","United Kingdom","2010",2424,3681.6,5705.9
"Bulgaria","United Kingdom","2010",5476.7,11593.6,24795
"Croatia","United Kingdom","2010",148,324.7,707.1
"Cyprus","United Kingdom","2010",795.1,4357.9,23294.5
"Czechia","United Kingdom","2010",934.6,4423.6,21887.3
"Denmark","United Kingdom","2010",1491.5,2052.6,2810.1
"Estonia","United Kingdom","2010",526.5,1061.3,2167
"Finland","United Kingdom","2010",1076.1,1484.6,2047.1
"France","United Kingdom","2010",13224.7,23763.3,42550.2
"Germany","United Kingdom","2010",9555.5,18788.2,37549.6
"Greece","United Kingdom","2010",2427.9,7894.6,27049.3
"Hungary","United Kingdom","2010",2138.1,7401.8,24483.5
"Iceland","United Kingdom","2010",201.9,283.7,398.9
"Ireland","United Kingdom","2010",7222.8,17147.2,41530.5
"Italy","United Kingdom","2010",15740.9,23684.1,36054
"Latvia","United Kingdom","2010",3299.9,7589.3,17113
"Liechtenstein","United Kingdom","2010",4.1,7.4,13.3
"Lithuania","United Kingdom","2010",25793.8,40183.7,61657.3
"Luxembourg","United Kingdom","2010",87.4,408.1,1988.2
"Malta","United Kingdom","2010",403.6,2212.9,12173.7
"Netherlands","United Kingdom","2010",3560.4,6809.1,13057.6
"Norway","United Kingdom","2010",1457.9,2025.9,2809.8
"Poland","United Kingdom","2010",20120.8,38206.2,73054.9
"Portugal","United Kingdom","2010",4475.3,10137.2,24532.4
"Romania","United Kingdom","2010",9445.5,18918.1,36805.1
"Slovakia","United Kingdom","2010",1268.3,2556.4,5164
"Slovenia","United Kingdom","2010",217.7,338.4,521.8
"Spain","United Kingdom","2010",16792.6,24964.7,37629.2
"Sweden","United Kingdom","2010",3068.5,4262.6,5935.5
"Switzerland","United Kingdom","2010",2136.4,4002.9,7475
"United Kingdom","United Kingdom","2010",NA,NA,NA
"North Macedonia","United Kingdom","2010",55.5,117,243
"Other Europe","United Kingdom","2010",1418.4,13141.8,110947.6
"North Africa","United Kingdom","2010",931.5,7906.3,65324.4
"Sub-Saharan Africa","United Kingdom","2010",23117.1,49447.6,229878.9
"West Asia","United Kingdom","2010",14723.4,27664.6,100493.6
"East Asia","United Kingdom","2010",33530.5,51794,79676.8
"South-Southeast Asia","United Kingdom","2010",103294.8,158221,250472.7
"North America and Oceania","United Kingdom","2010",51445.2,79966.2,123656.6
"Latin America","United Kingdom","2010",1436.6,12679.8,110019.7
"Austria","North Macedonia","2010",289.1,397.4,550.4
"Belgium","North Macedonia","2010",55.8,79.4,112.4
"Bulgaria","North Macedonia","2010",125,224.9,408.5
"Croatia","North Macedonia","2010",81.2,151.4,290.4
"Cyprus","North Macedonia","2010",0.6,2,5.4
"Czechia","North Macedonia","2010",13.3,27.6,59.9
"Denmark","North Macedonia","2010",16.1,24.1,36.1
"Estonia","North Macedonia","2010",0.8,1.6,3
"Finland","North Macedonia","2010",2.3,4.1,7.2
"France","North Macedonia","2010",43.7,87,174.6
"Germany","North Macedonia","2010",294.2,580.6,1089.3
"Greece","North Macedonia","2010",159.8,310.2,598.1
"Hungary","North Macedonia","2010",15.6,32.6,66.3
"Iceland","North Macedonia","2010",0.6,1.2,2.4
"Ireland","North Macedonia","2010",2.7,5.4,10.2
"Italy","North Macedonia","2010",398.9,554,762.7
"Latvia","North Macedonia","2010",1.7,4.5,10.9
"Liechtenstein","North Macedonia","2010",0.1,0.3,0.8
"Lithuania","North Macedonia","2010",2.3,4,7
"Luxembourg","North Macedonia","2010",0.4,1.3,3.8
"Malta","North Macedonia","2010",0.4,1.3,4
"Netherlands","North Macedonia","2010",24.8,45.3,82.4
"Norway","North Macedonia","2010",8.4,13.4,21
"Poland","North Macedonia","2010",23.6,47.3,95.1
"Portugal","North Macedonia","2010",1.9,4.8,11.5
"Romania","North Macedonia","2010",41.9,83,164.5
"Slovakia","North Macedonia","2010",3,6,11.7
"Slovenia","North Macedonia","2010",857.6,1181.2,1628.1
"Spain","North Macedonia","2010",13.5,28.5,59.8
"Sweden","North Macedonia","2010",25.7,38.2,56.9
"Switzerland","North Macedonia","2010",113.3,206,375.3
"United Kingdom","North Macedonia","2010",58.2,114.1,224
"North Macedonia","North Macedonia","2010",NA,NA,NA
"Other Europe","North Macedonia","2010",978.3,1902.7,3616.7
"North Africa","North Macedonia","2010",3.7,7.7,15.6
"Sub-Saharan Africa","North Macedonia","2010",7.1,14.2,27.8
"West Asia","North Macedonia","2010",14.2,28,54.2
"East Asia","North Macedonia","2010",9.2,18,35.8
"South-Southeast Asia","North Macedonia","2010",15.8,31,60.5
"North America and Oceania","North Macedonia","2010",67,127.7,250.2
"Latin America","North Macedonia","2010",6.7,13.3,26.8
"Austria","Other Europe","2010",6688.6,9349.3,13096.2
"Belgium","Other Europe","2010",1993.1,2759,3800.3
"Bulgaria","Other Europe","2010",1714.7,3373.5,6679.6
"Croatia","Other Europe","2010",3420.6,6558.3,12843.3
"Cyprus","Other Europe","2010",50.8,452.6,3954.1
"Czechia","Other Europe","2010",606.8,5278.5,49869.7
"Denmark","Other Europe","2010",2030.5,2799.9,3871.9
"Estonia","Other Europe","2010",319,504.7,789
"Finland","Other Europe","2010",356.5,497.3,695.4
"France","Other Europe","2010",983.7,8217,72666.3
"Germany","Other Europe","2010",2738.6,23800.2,205572.2
"Greece","Other Europe","2010",509,4275.1,36215.9
"Hungary","Other Europe","2010",274.8,2386.7,19799.8
"Iceland","Other Europe","2010",47.9,68.9,100.9
"Ireland","Other Europe","2010",822.6,1375.3,2290
"Italy","Other Europe","2010",4841.8,6735.1,9390.2
"Latvia","Other Europe","2010",337.5,3081.2,26925.7
"Liechtenstein","Other Europe","2010",10.5,16.8,26.3
"Lithuania","Other Europe","2010",3286.6,4580.4,6370.1
"Luxembourg","Other Europe","2010",10.2,85.8,715.7
"Malta","Other Europe","2010",5.6,48.6,435.6
"Netherlands","Other Europe","2010",2540.9,4825.4,9220
"Norway","Other Europe","2010",425.3,595.8,827
"Poland","Other Europe","2010",2266.9,19751.4,172583.1
"Portugal","Other Europe","2010",150.5,1242.6,10473.9
"Romania","Other Europe","2010",671,6099.6,51253.4
"Slovakia","Other Europe","2010",24.5,42.7,73.7
"Slovenia","Other Europe","2010",5820,8041.1,11179.3
"Spain","Other Europe","2010",7587.3,11437.3,26953.2
"Sweden","Other Europe","2010",713.5,990,1385.7
"Switzerland","Other Europe","2010",2110,4002.4,7580.5
"United Kingdom","Other Europe","2010",877.9,7580,66344.5
"North Macedonia","Other Europe","2010",211.2,435.5,905.3
"Other Europe","Other Europe","2010",NA,NA,NA
"North Africa","Other Europe","2010",1187.8,10401.4,85743.8
"Sub-Saharan Africa","Other Europe","2010",1542.9,14198.9,130558.5
"West Asia","Other Europe","2010",18007.5,155339.2,1390172.7
"East Asia","Other Europe","2010",3239.2,27579.8,251087
"South-Southeast Asia","Other Europe","2010",4087.2,37014.3,330379.4
"North America and Oceania","Other Europe","2010",1786,14767.4,134038
"Latin America","Other Europe","2010",837.8,8149.3,70532.3
"Austria","North Africa","2010",562,784.8,1093.8
"Belgium","North Africa","2010",1227.1,1684.4,2314.9
"Bulgaria","North Africa","2010",22.1,44.2,85.7
"Croatia","North Africa","2010",4.8,9.5,18.6
"Cyprus","North Africa","2010",6.3,56.4,501.2
"Czechia","North Africa","2010",29.7,263.8,2321.7
"Denmark","North Africa","2010",119.4,168.6,236.2
"Estonia","North Africa","2010",2.3,4.3,7.7
"Finland","North Africa","2010",45.8,67.6,97.9
"France","North Africa","2010",1166.4,10715.8,90624.8
"Germany","North Africa","2010",427.8,3761.8,34604.4
"Greece","North Africa","2010",110.5,870.9,7329.5
"Hungary","North Africa","2010",36.6,344.5,2976.2
"Iceland","North Africa","2010",2.3,4.4,7.8
"Ireland","North Africa","2010",195,326.6,543.1
"Italy","North Africa","2010",2948.9,4128.6,5752.9
"Latvia","North Africa","2010",2.2,18.2,162.7
"Liechtenstein","North Africa","2010",0.4,0.8,1.8
"Lithuania","North Africa","2010",46.5,67.5,97.9
"Luxembourg","North Africa","2010",1.6,14.7,131.3
"Malta","North Africa","2010",4,37,333
"Netherlands","North Africa","2010",621.1,1176.7,2255.1
"Norway","North Africa","2010",160,227,318.6
"Poland","North Africa","2010",83.2,747.7,6661.1
"Portugal","North Africa","2010",21.8,171.3,1524.1
"Romania","North Africa","2010",72.2,689.3,5795.2
"Slovakia","North Africa","2010",2.8,5.8,11.8
"Slovenia","North Africa","2010",14.8,22.9,35.1
"Spain","North Africa","2010",30166.3,41614.2,57588.4
"Sweden","North Africa","2010",231.1,324.5,454.5
"Switzerland","North Africa","2010",467.1,890.1,1673.8
"United Kingdom","North Africa","2010",390.1,3420.1,31012.4
"North Macedonia","North Africa","2010",0.9,2.2,5.5
"Other Europe","North Africa","2010",1020.4,8785.6,72138.2
"North Africa","North Africa","2010",NA,NA,NA
"Sub-Saharan Africa","North Africa","2010",3327.1,29539.4,274445.9
"West Asia","North Africa","2010",8013.7,71002.8,621730.1
"East Asia","North Africa","2010",759.5,6462.2,54317.6
"South-Southeast Asia","North Africa","2010",2165,20583.3,171385
"North America and Oceania","North Africa","2010",779.6,6600.9,57009.5
"Latin America","North Africa","2010",355.6,3063.9,27377.9
"Austria","Sub-Saharan Africa","2010",1139.6,1581.5,2212.4
"Belgium","Sub-Saharan Africa","2010",2597.1,3617.2,4978.9
"Bulgaria","Sub-Saharan Africa","2010",23.1,45.6,89.4
"Croatia","Sub-Saharan Africa","2010",16.7,32.2,63.2
"Cyprus","Sub-Saharan Africa","2010",21.3,188.6,1578
"Czechia","Sub-Saharan Africa","2010",66.3,599.2,5018.2
"Denmark","Sub-Saharan Africa","2010",379.9,520.9,716.6
"Estonia","Sub-Saharan Africa","2010",3.7,6.7,11.9
"Finland","Sub-Saharan Africa","2010",89.5,128.9,182.3
"France","Sub-Saharan Africa","2010",1248.7,10855.9,85952.7
"Germany","Sub-Saharan Africa","2010",831.2,7349.4,64857.1
"Greece","Sub-Saharan Africa","2010",137.6,1236.8,10738.2
"Hungary","Sub-Saharan Africa","2010",36.2,320.9,2897.3
"Iceland","Sub-Saharan Africa","2010",16.9,25.8,38.7
"Ireland","Sub-Saharan Africa","2010",2164.1,3539.1,5867.9
"Italy","Sub-Saharan Africa","2010",1611.6,2244.1,3129.3
"Latvia","Sub-Saharan Africa","2010",9.1,74.9,579.4
"Liechtenstein","Sub-Saharan Africa","2010",0.8,1.7,3.5
"Lithuania","Sub-Saharan Africa","2010",58.7,84.5,122.3
"Luxembourg","Sub-Saharan Africa","2010",4.5,37.5,329.7
"Malta","Sub-Saharan Africa","2010",10.5,90.2,715.4
"Netherlands","Sub-Saharan Africa","2010",1366.4,2533.6,4951.7
"Norway","Sub-Saharan Africa","2010",475.7,666.7,929.3
"Poland","Sub-Saharan Africa","2010",182.4,1607.9,13956.5
"Portugal","Sub-Saharan Africa","2010",317.1,2888.6,24303.5
"Romania","Sub-Saharan Africa","2010",85.5,742.1,6531
"Slovakia","Sub-Saharan Africa","2010",4.6,9.1,17.1
"Slovenia","Sub-Saharan Africa","2010",25.9,39,57.4
"Spain","Sub-Saharan Africa","2010",10047.4,14677.4,28139.5
"Sweden","Sub-Saharan Africa","2010",634.9,882.9,1235.3
"Switzerland","Sub-Saharan Africa","2010",868.7,1631,3066.1
"United Kingdom","Sub-Saharan Africa","2010",7751.7,18019.4,97511.6
"North Macedonia","Sub-Saharan Africa","2010",1.8,4.3,9.6
"Other Europe","Sub-Saharan Africa","2010",921.5,9309.7,82420
"North Africa","Sub-Saharan Africa","2010",2318.2,21020,185832.1
"Sub-Saharan Africa","Sub-Saharan Africa","2010",NA,NA,NA
"West Asia","Sub-Saharan Africa","2010",2455.8,23149.2,225882.4
"East Asia","Sub-Saharan Africa","2010",2983.1,26824.1,254827.1
"South-Southeast Asia","Sub-Saharan Africa","2010",6952.9,61836.4,571978.4
"North America and Oceania","Sub-Saharan Africa","2010",2482.3,21400.1,198046.5
"Latin America","Sub-Saharan Africa","2010",1505.1,13466.8,123474.4
"Austria","West Asia","2010",1349.4,1860.7,2613.5
"Belgium","West Asia","2010",1282.1,1770,2471.9
"Bulgaria","West Asia","2010",204.8,393.2,781.2
"Croatia","West Asia","2010",67.9,129.1,251.8
"Cyprus","West Asia","2010",25.4,229.1,1953.7
"Czechia","West Asia","2010",63.3,533.8,4705
"Denmark","West Asia","2010",741.6,1020.2,1409.5
"Estonia","West Asia","2010",22.2,35.9,58.3
"Finland","West Asia","2010",236.1,331.7,469
"France","West Asia","2010",708.7,5942.7,49562.6
"Germany","West Asia","2010",1531.6,12552.3,105516.9
"Greece","West Asia","2010",183.4,1666.1,14294.6
"Hungary","West Asia","2010",117,975.5,8514
"Iceland","West Asia","2010",23.1,34.6,51.9
"Ireland","West Asia","2010",622.4,1037.9,1693
"Italy","West Asia","2010",1156.2,1607.9,2223.6
"Latvia","West Asia","2010",53.7,447.9,3892.9
"Liechtenstein","West Asia","2010",0.5,1.1,2.3
"Lithuania","West Asia","2010",410.5,569.8,792
"Luxembourg","West Asia","2010",1.3,11.8,106.8
"Malta","West Asia","2010",3.3,28.2,235.5
"Netherlands","West Asia","2010",1350.9,2584.3,4884.7
"Norway","West Asia","2010",439.5,608.3,847.3
"Poland","West Asia","2010",473.7,3914.7,35862.3
"Portugal","West Asia","2010",13.9,130.5,1145.6
"Romania","West Asia","2010",376,3243.9,26537
"Slovakia","West Asia","2010",52,89.6,155
"Slovenia","West Asia","2010",38.7,56.9,83.5
"Spain","West Asia","2010",200.8,1694.7,14506.4
"Sweden","West Asia","2010",1782.6,2496.4,3447.6
"Switzerland","West Asia","2010",926.1,1768.8,3337.4
"United Kingdom","West Asia","2010",6897.3,13732.2,56135.9
"North Macedonia","West Asia","2010",5.6,11.9,25.6
"Other Europe","West Asia","2010",15647.3,138587.1,1355890.4
"North Africa","West Asia","2010",10598.1,98521,854806.4
"Sub-Saharan Africa","West Asia","2010",5168.3,46976.1,444234.5
"West Asia","West Asia","2010",NA,NA,NA
"East Asia","West Asia","2010",4034.2,33842,296819.1
"South-Southeast Asia","West Asia","2010",22347.9,215703,1890747.5
"North America and Oceania","West Asia","2010",1842.9,17038.6,143781.4
"Latin America","West Asia","2010",1453.1,12594.1,101611.1
"Austria","East Asia","2010",1267.9,1780.6,2492.7
"Belgium","East Asia","2010",1829.7,2530.9,3492.2
"Bulgaria","East Asia","2010",68.8,130,248
"Croatia","East Asia","2010",50.9,102,196.4
"Cyprus","East Asia","2010",3.1,28.1,248.3
"Czechia","East Asia","2010",81.8,679.5,5673
"Denmark","East Asia","2010",1067.1,1476.7,2046.9
"Estonia","East Asia","2010",28.7,45.5,73
"Finland","East Asia","2010",302.1,423,592.4
"France","East Asia","2010",723.4,6445.1,54381.6
"Germany","East Asia","2010",912.1,7562.7,64175.5
"Greece","East Asia","2010",69.6,603.7,5669.4
"Hungary","East Asia","2010",79.6,699.4,6142.3
"Iceland","East Asia","2010",29.2,43.9,64.1
"Ireland","East Asia","2010",1046.9,1725.4,2834.9
"Italy","East Asia","2010",2234.9,3075.3,4272.9
"Latvia","East Asia","2010",17.2,144.1,1207.1
"Liechtenstein","East Asia","2010",2.2,4,7.1
"Lithuania","East Asia","2010",132.2,185.6,264.2
"Luxembourg","East Asia","2010",2,17.5,152.1
"Malta","East Asia","2010",1.8,15.6,140.5
"Netherlands","East Asia","2010",2013.5,3805.1,7142.2
"Norway","East Asia","2010",370.8,517.3,719.5
"Poland","East Asia","2010",184.1,1618.6,12860.7
"Portugal","East Asia","2010",84.8,699.4,6317.1
"Romania","East Asia","2010",120.7,1067.6,9865.1
"Slovakia","East Asia","2010",41.5,69.6,118.1
"Slovenia","East Asia","2010",109.8,154.7,219.2
"Spain","East Asia","2010",9100.9,12764.5,19527.6
"Sweden","East Asia","2010",1242.9,1703,2353.1
"Switzerland","East Asia","2010",1602.6,3049.8,5609
"United Kingdom","East Asia","2010",16591.4,25563,40457
"North Macedonia","East Asia","2010",2.4,5.5,12.1
"Other Europe","East Asia","2010",2709.8,23624.3,208702.3
"North Africa","East Asia","2010",756,6787.1,61803.1
"Sub-Saharan Africa","East Asia","2010",3799.5,36310.4,326165.9
"West Asia","East Asia","2010",3291.3,29219.9,246444.6
"East Asia","East Asia","2010",NA,NA,NA
"South-Southeast Asia","East Asia","2010",38714.7,392014,3495032.5
"North America and Oceania","East Asia","2010",5423.8,51332.6,470493.4
"Latin America","East Asia","2010",5201.9,47536.4,478905.5
"Austria","South-Southeast Asia","2010",1441.3,2049.5,2814.2
"Belgium","South-Southeast Asia","2010",1903.2,2593,3616.4
"Bulgaria","South-Southeast Asia","2010",41.5,77.6,150.1
"Croatia","South-Southeast Asia","2010",26.4,50.8,98.8
"Cyprus","South-Southeast Asia","2010",18.7,160.7,1338.8
"Czechia","South-Southeast Asia","2010",80.1,655.2,5528.1
"Denmark","South-Southeast Asia","2010",1852.4,2553.9,3522.1
"Estonia","South-Southeast Asia","2010",15.7,25.9,41.9
"Finland","South-Southeast Asia","2010",399.6,559,775.2
"France","South-Southeast Asia","2010",878.5,7915.6,73501
"Germany","South-Southeast Asia","2010",1144.8,10146.5,86002.8
"Greece","South-Southeast Asia","2010",100,827.8,6787.8
"Hungary","South-Southeast Asia","2010",65.8,584.1,4789.1
"Iceland","South-Southeast Asia","2010",53.9,78.5,113
"Ireland","South-Southeast Asia","2010",2367.6,3900,6460
"Italy","South-Southeast Asia","2010",3427.1,4717.5,6555.6
"Latvia","South-Southeast Asia","2010",4.9,43.1,375.3
"Liechtenstein","South-Southeast Asia","2010",4.7,8,13.3
"Lithuania","South-Southeast Asia","2010",171,243.2,341.9
"Luxembourg","South-Southeast Asia","2010",1.9,15.9,138.8
"Malta","South-Southeast Asia","2010",2.6,22.5,199.9
"Netherlands","South-Southeast Asia","2010",2558.9,4770.8,9128.9
"Norway","South-Southeast Asia","2010",1356.9,1886,2623.8
"Poland","South-Southeast Asia","2010",121.6,1089.4,9167.7
"Portugal","South-Southeast Asia","2010",100.5,874,7971.1
"Romania","South-Southeast Asia","2010",57.3,476.6,4015.5
"Slovakia","South-Southeast Asia","2010",5.1,9.9,19.1
"Slovenia","South-Southeast Asia","2010",63.5,91,130.4
"Spain","South-Southeast Asia","2010",8948.7,12518.5,17988.1
"Sweden","South-Southeast Asia","2010",1743.6,2422,3377.2
"Switzerland","South-Southeast Asia","2010",2382,4493.3,8436.3
"United Kingdom","South-Southeast Asia","2010",25009,41380,94601.2
"North Macedonia","South-Southeast Asia","2010",5.7,12.3,26.2
"Other Europe","South-Southeast Asia","2010",2167.9,18792.3,166122.6
"North Africa","South-Southeast Asia","2010",1601.1,13879,123998.8
"Sub-Saharan Africa","South-Southeast Asia","2010",6033.2,50920.9,483760.3
"West Asia","South-Southeast Asia","2010",9550.7,88694.4,754053.8
"East Asia","South-Southeast Asia","2010",26700.4,263074,2394465.7
"South-Southeast Asia","South-Southeast Asia","2010",NA,NA,NA
"North America and Oceania","South-Southeast Asia","2010",6696.1,57895.8,553394.6
"Latin America","South-Southeast Asia","2010",2239.8,21145.2,186177.7
"Austria","North America and Oceania","2010",1355,1900.4,2650
"Belgium","North America and Oceania","2010",3716.1,5123.5,7063.7
"Bulgaria","North America and Oceania","2010",469.8,891.6,1744.1
"Croatia","North America and Oceania","2010",325.9,619.6,1186.9
"Cyprus","North America and Oceania","2010",24,211.6,1859
"Czechia","North America and Oceania","2010",206.9,1625.2,14203.8
"Denmark","North America and Oceania","2010",3342.6,4617.3,6358.1
"Estonia","North America and Oceania","2010",144.9,228.2,354.2
"Finland","North America and Oceania","2010",1082.8,1509,2089.4
"France","North America and Oceania","2010",1602.4,14651.9,129172.8
"Germany","North America and Oceania","2010",2355.2,19756.6,174283.3
"Greece","North America and Oceania","2010",254.9,2198.4,18238.3
"Hungary","North America and Oceania","2010",151.4,1308.4,12057.8
"Iceland","North America and Oceania","2010",302,419.1,593.9
"Ireland","North America and Oceania","2010",13706.7,22668.5,37242.6
"Italy","North America and Oceania","2010",4967.2,6873.7,9538.2
"Latvia","North America and Oceania","2010",35.1,299.1,2547.7
"Liechtenstein","North America and Oceania","2010",6,9.9,16.2
"Lithuania","North America and Oceania","2010",2228.5,3101.2,4289.4
"Luxembourg","North America and Oceania","2010",13.5,116.8,1013.6
"Malta","North America and Oceania","2010",25.1,224.3,1973
"Netherlands","North America and Oceania","2010",4107.8,7743.1,14683.1
"Norway","North America and Oceania","2010",1685.3,2326.3,3225.2
"Poland","North America and Oceania","2010",586.3,5548.3,47926.5
"Portugal","North America and Oceania","2010",272.3,2398.1,20767.1
"Romania","North America and Oceania","2010",405.6,3698.3,29376.7
"Slovakia","North America and Oceania","2010",280.3,457.8,755.8
"Slovenia","North America and Oceania","2010",401.2,558.1,768.8
"Spain","North America and Oceania","2010",7746.5,10885.4,15132.4
"Sweden","North America and Oceania","2010",3551.1,4982.9,6897.3
"Switzerland","North America and Oceania","2010",3925.3,7362.3,13772.1
"United Kingdom","North America and Oceania","2010",62364.1,95144.1,147272.8
"North Macedonia","North America and Oceania","2010",232.9,472.1,1001.4
"Other Europe","North America and Oceania","2010",3171.3,28064.1,251869.2
"North Africa","North America and Oceania","2010",1716,15428.2,130900.6
"Sub-Saharan Africa","North America and Oceania","2010",7495.1,65596.4,587976.4
"West Asia","North America and Oceania","2010",3491.2,30327.8,255214.5
"East Asia","North America and Oceania","2010",11746.7,105984.4,1034099.3
"South-Southeast Asia","North America and Oceania","2010",20786.8,181128.6,1696098.8
